[2026-01-29 13:43:16.115223] Looking for connection...
[2026-01-29 13:43:16.115303] Got it
[2026-01-29 13:43:16.115323] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-29 13:47:20.249326] 64 bytes from 172.16.0.1: icmp_seq=1185 ttl=64 time=1177 ms
[2026-01-29 13:47:24.304307] 64 bytes from 172.16.0.1: icmp_seq=1206 ttl=64 time=935 ms
[2026-01-29 13:47:26.280830] 64 bytes from 172.16.0.1: icmp_seq=1216 ttl=64 time=868 ms
[2026-01-29 13:47:29.040360] 64 bytes from 172.16.0.1: icmp_seq=1230 ttl=64 time=765 ms
[2026-01-29 13:47:30.601729] 64 bytes from 172.16.0.1: icmp_seq=1240 ttl=64 time=292 ms
[2026-01-29 13:47:31.294451] 64 bytes from 172.16.0.1: icmp_seq=1242 ttl=64 time=579 ms
[2026-01-29 13:47:32.418783] 64 bytes from 172.16.0.1: icmp_seq=1249 ttl=64 time=270 ms
[2026-01-29 13:47:32.556764] 64 bytes from 172.16.0.1: icmp_seq=1250 ttl=64 time=203 ms
[2026-01-29 13:47:33.380814] 64 bytes from 172.16.0.1: icmp_seq=1251 ttl=64 time=827 ms
[2026-01-29 13:47:39.848784] 64 bytes from 172.16.0.1: icmp_seq=1286 ttl=64 time=124 ms
[2026-01-29 13:47:40.660770] 64 bytes from 172.16.0.1: icmp_seq=1288 ttl=64 time=531 ms
[2026-01-29 13:47:40.998909] 64 bytes from 172.16.0.1: icmp_seq=1289 ttl=64 time=665 ms
