time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-29 13:44:10.773007,70.0000000000,-78.6974298000,35.7275793000,25.0110000000,-0.0326158926,0.0001772007,-0.2027568072,1.1400000000,-4.8700000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3409851894,10.7695247984
2026-01-29 13:44:11.774893,71.0000000000,-78.6974839000,35.7275895000,25.0110000000,-0.0317062251,-0.0009287837,-0.1997378170,1.1400000000,-4.8700000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2897133286,10.8950769658
2026-01-29 13:44:12.776069,72.0000000000,-78.6975374000,35.7275995000,25.0100000000,-0.0330846421,0.0009213101,-0.2072411627,1.1400000000,-4.8700000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3897079019,9.2863173115
2026-01-29 13:44:13.777830,73.0000000000,-78.6975912000,35.7276097000,25.0080000000,-0.0329613462,-0.0000226216,-0.2045216858,1.1400000000,-4.9000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,139.3876474766,4.4208241657
2026-01-29 13:44:14.778794,74.0000000000,-78.6976453000,35.7276199000,25.0080000000,-0.0321962424,0.0008016834,-0.2031790018,1.1400000000,-4.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,140.2635554011,3.4725716486
2026-01-29 13:44:15.785284,75.0000000000,-78.6977017000,35.7276305000,25.0080000000,0.0011627844,-0.0045611272,-0.0530234575,0.9600000000,-4.1200000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3426093282,19.0804599950
2026-01-29 13:44:16.791167,76.0000000000,-78.6977403000,35.7276376000,25.0040000000,0.0189830456,-0.0044759642,0.0488718078,0.6300000000,-2.7700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2174107490,20.7316378056
2026-01-29 13:44:17.798009,77.0000000000,-78.6977618000,35.7276415000,25.0050000000,0.0343660749,-0.0030641414,0.1403831542,0.2400000000,-1.0600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3255861317,10.2167946787
2026-01-29 13:44:18.804918,78.0000000000,-78.6977667000,35.7276424000,25.0010000000,0.0137080122,-0.0050488869,0.0638280436,0.0100000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3400000000,11.0480577400
2026-01-29 13:44:19.807939,79.0000000000,-78.6977648000,35.7276422000,24.9970000000,0.0019144013,-0.0055254553,0.0060965037,-0.0200000000,0.1900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2552859906,11.1069874617
2026-01-29 13:44:20.814390,80.0000000000,-78.6977683000,35.7276429000,24.9940000000,-0.0681273565,0.0050681736,-0.2961796820,0.3700000000,-1.5100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,515.5652770654,4.6014730929
2026-01-29 13:44:21.821958,81.0000000000,-78.6977975000,35.7276485000,25.0030000000,-0.0788891315,0.0078792647,-0.3577325642,0.9300000000,-3.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,439.4827460382,8.0509085692
2026-01-29 13:44:22.827617,82.0000000000,-78.6978457000,35.7276578000,25.0070000000,-0.0391225629,-0.0033959439,-0.2243967950,1.1100000000,-4.6400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.1388148674,13.4480996878
2026-01-29 13:44:23.830982,83.0000000000,-78.6978985000,35.7276679000,25.0010000000,-0.0350969695,-0.0043355194,-0.2216244042,1.1400000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.1647494491,12.1951886558
2026-01-29 13:44:24.833040,84.0000000000,-78.6979536000,35.7276782000,25.0000000000,-0.0328236930,-0.0043804464,-0.2118196040,1.1500000000,-4.9700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2142736143,13.1895558378
2026-01-29 13:44:25.838069,85.0000000000,-78.6980088000,35.7276885000,25.0000000000,-0.0325134061,-0.0050362744,-0.2057882100,1.1500000000,-4.9600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,545.0477200172,6.2056829592
2026-01-29 13:44:26.843148,86.0000000000,-78.6980639000,35.7276988000,25.0010000000,-0.0311619807,-0.0049889344,-0.1991593540,1.1400000000,-4.9100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,868.5341756662,0.0377987431
2026-01-29 13:44:27.848863,87.0000000000,-78.6981178000,35.7277088000,25.0020000000,-0.0341063701,-0.0049049705,-0.2058070749,1.1400000000,-4.9000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,339.2300010751,4.4629621634
2026-01-29 13:44:28.851427,88.0000000000,-78.6981721000,35.7277190000,25.0040000000,-0.0330659784,-0.0049550426,-0.2027233094,1.1400000000,-4.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2358339454,8.2175683300
2026-01-29 13:44:29.853970,89.0000000000,-78.6982259000,35.7277291000,25.0050000000,-0.0336887278,-0.0044007618,-0.2059517056,1.1500000000,-4.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2182054257,11.6339850953
2026-01-29 13:44:30.858839,90.0000000000,-78.6982802000,35.7277393000,25.0050000000,-0.0326054618,-0.0046994463,-0.2002833486,1.1400000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2496400665,12.7080661821
2026-01-29 13:44:31.865078,91.0000000000,-78.6983339000,35.7277495000,25.0050000000,-0.0334324203,-0.0048666233,-0.2048778534,1.1400000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3644801413,10.5680859479
2026-01-29 13:44:32.871475,92.0000000000,-78.6983880000,35.7277597000,25.0050000000,-0.0321857482,-0.0054617776,-0.2015687376,1.1400000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3270178682,9.0411503390
2026-01-29 13:44:33.877134,93.0000000000,-78.6984414000,35.7277697000,25.0050000000,-0.0337120891,-0.0042052642,-0.2087715566,1.1400000000,-4.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.2280983262,8.6303452183
2026-01-29 13:44:34.883554,94.0000000000,-78.6984955000,35.7277799000,25.0060000000,-0.0328556001,-0.0048924834,-0.2040660232,1.1500000000,-4.9100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.1697483893,9.8730053313
2026-01-29 13:44:36.743210,95.0000000000,-78.6985984000,35.7277993000,25.0070000000,-0.0314846709,-0.0050661466,-0.1994061321,1.1400000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,780.9741989919,0.0115636881
2026-01-29 13:44:37.749284,96.0000000000,-78.6986522000,35.7278094000,25.0070000000,-0.0329747833,-0.0050202901,-0.2033417076,1.1400000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,509.3190736458,4.7069944772
2026-01-29 13:44:38.755903,97.0000000000,-78.6987057000,35.7278195000,25.0070000000,-0.0153949335,-0.0079348711,-0.1329385787,1.1100000000,-4.7500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,448.3866369202,5.2330803930
