time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,destination,icmp_seq,num,pingtime,size(byte),ttl
2026-01-20 17:46:39.982773,24.9944816975,12.5870000000,6.0000000000,35.7281212064,-78.7002706914,10.0000000000,-0.0030174521,-0.0729020199,1.0070716019,-4.2838354822,0.0000000000,-0.0223420313,172.16.0.1:,206.0000000000,129.2591512441,921.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:40.296767,24.9938554562,12.5870000000,6.0000000000,35.7281239932,-78.7002849384,10.0000000000,0.0047235165,-0.0368225852,0.9068729930,-3.9018282857,0.0000000000,-0.0227573268,172.16.0.1:,208.0000000000,129.5722718970,835.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:40.719778,24.9930117872,12.5870000000,6.0000000000,35.7281277475,-78.7003041318,10.0000000000,0.0151521095,0.0117834426,0.7718859450,-3.3871901653,0.0000000000,-0.0233168107,172.16.0.1:,210.0000000000,129.9941064219,850.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:40.929803,24.9938113428,12.5870000000,6.0000000000,35.7281289359,-78.7003104242,10.0000000000,0.0199222263,0.0353448462,0.6929224353,-3.0595195994,0.0000000000,-0.0229983605,172.16.0.1:,211.0000000000,130.2028356966,860.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:41.143194,24.9946595577,12.5870000000,6.0000000000,35.7281301234,-78.7003167222,10.0000000000,0.0247568022,0.0592670646,0.6123420216,-2.7244747215,0.0000000000,-0.0226572661,172.16.0.1:,212.0000000000,130.4148894168,870.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:41.594669,24.9964541393,12.5870000000,6.0000000000,35.7281326358,-78.7003300470,10.0000000000,0.0349853910,0.1098796815,0.4418567621,-2.0156149581,0.0000000000,-0.0219356073,172.16.0.1:,214.0000000000,130.8635348367,921.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:41.926770,24.9977773301,12.5870000000,6.0000000000,35.7281338081,-78.7003362765,10.0000000000,0.0362003193,0.1204875293,0.3200402922,-1.5065578925,0.0000000000,-0.0218938234,172.16.0.1:,215.0000000000,131.1943325215,1051.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:42.827779,25.0008133640,12.5870000000,6.0000000000,35.7281355093,-78.7003452813,10.0000000000,0.0263481937,0.0933152706,0.0216013790,-0.2452073546,0.0000000000,-0.0227601086,172.16.0.1:,218.0000000000,132.0933180112,1346.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:43.020652,25.0004283980,12.5870000000,6.0000000000,35.7281355286,-78.7003452428,10.0000000000,0.0222428118,0.0782043832,0.0042779097,-0.1528155182,0.0000000000,-0.0230271668,172.16.0.1:,220.0000000000,132.2858010037,1134.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:43.197822,25.0000747746,12.5870000000,6.0000000000,35.7281355463,-78.7003452075,10.0000000000,0.0184716757,0.0643237712,-0.0116351435,-0.0679459011,0.0000000000,-0.0232724820,172.16.0.1:,221.0000000000,132.4626127061,1111.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:44.052395,24.9980584794,12.5870000000,6.0000000000,35.7281356314,-78.7003442212,10.0000000000,-0.0603636403,0.0334886325,0.1031968971,0.2307992243,0.0000000000,-0.0259062170,172.16.0.1:,226.0000000000,133.3138401867,950.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:44.261987,24.9974341925,12.5870000000,6.0000000000,35.7281356522,-78.7003436386,10.0000000000,-0.1050365622,0.0410160348,0.2114066298,0.2578516575,0.0000000000,-0.0271581741,172.16.0.1:,227.0000000000,133.5219358266,959.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:44.611800,24.9963922462,12.5870000000,6.0000000000,35.7281356869,-78.7003426661,10.0000000000,-0.1795964867,0.0535794070,0.3920106549,0.3030026637,0.0000000000,-0.0292477134,172.16.0.1:,229.0000000000,133.8692512594,899.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:44.732790,24.9960318679,12.5870000000,6.0000000000,35.7281356989,-78.7003423297,10.0000000000,-0.2053845561,0.0579247053,0.4544762374,0.3186190594,0.0000000000,-0.0299704232,172.16.0.1:,230.0000000000,133.9893773797,811.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:45.491164,24.9974892528,12.5870000000,6.0000000000,35.7281470183,-78.7003368642,10.0000000000,-0.2946578889,0.0905731427,2.3066735097,0.7965609057,0.0000000000,-0.0374352165,172.16.0.1:,234.0000000000,134.7446264152,760.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:46.014651,24.9993321237,12.5870000000,6.0000000000,35.7281601716,-78.7003313766,10.0000000000,-0.2991457080,0.0912424414,3.3343086054,1.0718983880,0.0000000000,-0.0378057159,172.16.0.1:,236.0000000000,135.2664247334,885.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:46.297756,25.0007442398,12.5870000000,6.0000000000,35.7281699999,-78.7003275357,10.0000000000,-0.2722767921,0.0802223053,3.7522949884,1.1905161453,0.0000000000,-0.0355078762,172.16.0.1:,237.0000000000,135.5488479651,960.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:46.717833,25.0028395668,12.5870000000,6.0000000000,35.7281845834,-78.7003218364,10.0000000000,-0.2324081423,0.0638704007,4.3725117783,1.3665236128,0.0000000000,-0.0320982943,172.16.0.1:,239.0000000000,135.9679133637,976.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:47.043800,25.0012395057,12.5870000000,6.0000000000,35.7281977887,-78.7003168521,10.0000000000,-0.2254340172,0.0602571820,4.5109588726,1.3976049431,0.0000000000,-0.0314210722,172.16.0.1:,241.0000000000,136.2934157180,898.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:48.317881,24.9947373413,12.5870000000,6.0000000000,35.7282516761,-78.7002968494,10.0000000000,-0.2109480621,0.0528912304,4.8091930552,1.4513132936,0.0000000000,-0.0303248944,172.16.0.1:,247.0000000000,137.5656646801,961.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:48.919664,24.9931664092,12.5870000000,6.0000000000,35.7282779887,-78.7002872375,10.0000000000,-0.1905245511,0.0463025297,4.8250695276,1.4450231759,0.0000000000,-0.0295960352,172.16.0.1:,250.0000000000,138.1664091571,946.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:51.318374,24.9921197666,12.5870000000,6.0000000000,35.7283651612,-78.7002556730,10.0000000000,0.0714063592,-0.0281105786,2.5465820475,0.7424536807,0.0000000000,-0.0277821293,172.16.0.1:,261.0000000000,140.5598833029,969.0000000000,64.0000000000,64.0000000000
