[2026-01-19 15:38:41.413760] Connecting to host 172.16.0.1, port 5001
[2026-01-19 15:38:41.534113] [  5] local 172.16.0.100 port 35406 connected to 172.16.0.1 port 5001
[2026-01-19 15:40:54.573625] [  5] 132.00-133.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:55.573612] [  5] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:56.573551] [  5] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:57.573552] [  5] 135.00-136.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:58.573566] [  5] 136.00-137.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:59.573634] [  5] 137.00-138.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:00.573609] [  5] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:01.573557] [  5] 139.00-140.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:02.573582] [  5] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:03.573725] [  5] 141.00-142.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:04.573641] [  5] 142.00-143.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:05.573558] [  5] 143.00-144.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:06.573571] [  5] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:07.573553] [  5] 145.00-146.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:08.573560] [  5] 146.00-147.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:09.573640] [  5] 147.00-148.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:10.573592] [  5] 148.00-149.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:11.573563] [  5] 149.00-150.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:12.573636] [  5] 150.00-151.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:41:13.573642] [  5] 151.00-152.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:14.573754] [  5] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:15.573620] [  5] 153.00-154.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:16.573716] [  5] 154.00-155.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:17.573595] [  5] 155.00-156.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:18.573568] [  5] 156.00-157.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:19.573667] [  5] 157.00-158.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:20.573556] [  5] 158.00-159.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:21.573661] [  5] 159.00-160.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:22.573788] [  5] 160.00-161.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:23.573613] [  5] 161.00-162.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:41:24.573772] [  5] 162.00-163.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
