time,Altitude,Bandwidth(MBits/sec),BatteryVolts,GPSFix,ID,Interval(sec),Latitude,Longitude,NumberOfSatellites,Pitch,Roll,Transfer(MBytes),VelocityX,VelocityY,VelocityZ,Yaw,num
2026-01-19 15:39:19.825992,24.9630000000,4.5220687420,46.1390000000,4.0000000000,5.0000000000,,35.7274609000,-78.6964363000,29.0000000000,-0.0381556153,-0.0778405964,552.6972906895,-0.4300000000,-5.1200000000,0.0800000000,-0.0850448832,54.0000000000
2026-01-19 15:39:20.829725,24.8940000000,0.0000000000,46.0320000000,4.0000000000,5.0000000000,,35.7274574000,-78.6964928000,29.0000000000,-0.0429405123,-0.0710936785,0.0000000000,-0.3100000000,-5.1700000000,-0.0700000000,-0.0840153545,55.0000000000
2026-01-19 15:39:21.833451,24.9370000000,0.0000000000,46.1790000000,4.0000000000,5.0000000000,,35.7274545000,-78.6965493000,29.0000000000,-0.0411134809,-0.0778364539,0.0000000000,-0.3000000000,-5.0200000000,-0.0600000000,-0.0786001608,56.0000000000
2026-01-19 15:39:22.837081,24.9150000000,0.0000000000,46.0260000000,4.0000000000,5.0000000000,,35.7274523000,-78.6966039000,29.0000000000,-0.0376035497,-0.0865550786,0.0000000000,-0.2000000000,-4.9000000000,0.0200000000,-0.0780779272,57.0000000000
2026-01-19 15:39:23.840151,24.9930000000,0.0000000000,46.3580000000,4.0000000000,5.0000000000,,35.7274503000,-78.6966563000,29.0000000000,-0.0178952925,0.0299561769,0.0000000000,-0.2800000000,-4.3900000000,-0.1900000000,-0.0754046068,58.0000000000
2026-01-19 15:39:24.843123,24.9670000000,0.0000000000,46.2960000000,4.0000000000,5.0000000000,,35.7274475000,-78.6966976000,29.0000000000,-0.0337384418,0.1007319689,0.0000000000,-0.2800000000,-3.0600000000,-0.0500000000,-0.0741051137,59.0000000000
2026-01-19 15:39:25.847046,24.8840000000,0.0000000000,45.9870000000,4.0000000000,5.0000000000,,35.7274453000,-78.6967217000,29.0000000000,-0.0339323021,0.1565897316,0.0000000000,-0.1300000000,-1.2700000000,0.0700000000,-0.0859893188,60.0000000000
2026-01-19 15:39:26.850858,24.8350000000,0.0000000000,45.8820000000,4.0000000000,5.0000000000,,35.7274451000,-78.6967275000,29.0000000000,-0.0408071727,0.0274910908,0.0000000000,0.1400000000,-0.0400000000,-0.1600000000,-0.0830626413,61.0000000000
2026-01-19 15:39:27.870704,24.9410000000,0.0000000000,46.0060000000,4.0000000000,5.0000000000,,35.7274466000,-78.6967266000,29.0000000000,-0.0273418576,-0.0323950313,0.0000000000,0.1800000000,0.1200000000,-0.1100000000,-0.0764446110,62.0000000000
2026-01-19 15:39:28.874248,24.9500000000,0.0000000000,45.7570000000,4.0000000000,5.0000000000,,35.7274484000,-78.6967269000,29.0000000000,-0.0944072753,-0.3067251146,0.0000000000,0.2700000000,-0.6300000000,0.0400000000,-0.0694259778,63.0000000000
2026-01-19 15:39:29.877705,24.9070000000,0.5492529161,45.5840000000,4.0000000000,5.0000000000,,35.7274529000,-78.6967489000,29.0000000000,-0.1032164320,-0.3182769120,67.2112121010,0.7100000000,-3.2700000000,-0.0600000000,-0.0659744740,64.0000000000
2026-01-19 15:39:30.881125,25.0070000000,3.8899977702,45.7240000000,4.0000000000,5.0000000000,,35.7274604000,-78.6967954000,29.0000000000,-0.0632603541,-0.1410658658,210.8899877837,0.9300000000,-4.6500000000,-0.0500000000,-0.0711196810,65.0000000000
2026-01-19 15:39:31.884138,25.1090000000,8.1281307802,45.8710000000,4.0000000000,5.0000000000,,35.7274687000,-78.6968478000,29.0000000000,-0.0690162331,-0.1132615954,180.6441934746,0.9700000000,-4.7700000000,0.0000000000,-0.0633771643,66.0000000000
2026-01-19 15:39:32.887583,25.0520000000,5.8243056296,45.8030000000,4.0000000000,5.0000000000,,35.7274779000,-78.6969005000,29.0000000000,-0.0711797550,-0.1228178293,710.9154679491,1.1100000000,-4.7800000000,0.1400000000,-0.0625367537,67.0000000000
2026-01-19 15:39:33.890706,25.0250000000,5.1846343424,45.7660000000,4.0000000000,5.0000000000,,35.7274883000,-78.6969535000,29.0000000000,-0.0698416233,-0.1310668588,632.8431695002,1.2000000000,-4.8800000000,0.0200000000,-0.0668820664,68.0000000000
2026-01-19 15:39:34.894051,25.0140000000,4.5057317409,45.8550000000,4.0000000000,5.0000000000,,35.7274995000,-78.6970081000,29.0000000000,-0.0588935241,-0.1266268641,549.7005461112,1.3100000000,-5.0200000000,-0.0200000000,-0.0661111623,69.0000000000
2026-01-19 15:39:35.897502,24.9480000000,5.5628559360,45.8080000000,4.0000000000,5.0000000000,,35.7275113000,-78.6970639000,29.0000000000,-0.0345075130,-0.1199568957,679.0498521600,1.2400000000,-5.0800000000,0.0000000000,-0.0706418827,70.0000000000
2026-01-19 15:39:36.900385,24.9170000000,6.5589616654,45.8010000000,4.0000000000,5.0000000000,,35.7275219000,-78.6971195000,29.0000000000,-0.0464311913,-0.1080908626,801.3238954482,1.1000000000,-5.0700000000,-0.0700000000,-0.0692683682,71.0000000000
2026-01-19 15:39:37.903724,24.9390000000,5.2601456944,45.8250000000,4.0000000000,5.0000000000,,35.7275310000,-78.6971752000,29.0000000000,-0.0693335906,-0.0933241695,642.8174833233,0.9800000000,-4.9800000000,-0.0500000000,-0.0654154867,72.0000000000
2026-01-19 15:39:38.906977,24.9420000000,4.5437480051,45.8690000000,4.0000000000,5.0000000000,,35.7275403000,-78.6972293000,29.0000000000,-0.0676363111,-0.1049973667,554.9534445603,1.0800000000,-4.8400000000,-0.0300000000,-0.0656036437,73.0000000000
2026-01-19 15:39:39.909995,24.9160000000,2.8486479529,45.7890000000,4.0000000000,5.0000000000,,35.7275505000,-78.6972826000,29.0000000000,-0.0716910586,-0.1094791293,347.6429621172,1.0900000000,-4.7500000000,0.0200000000,-0.0667745546,74.0000000000
2026-01-19 15:39:40.914606,24.9050000000,4.9184134384,45.8750000000,4.0000000000,5.0000000000,,35.7275609000,-78.6973351000,29.0000000000,-0.0678788200,-0.1220907122,600.6021406001,1.1200000000,-4.7900000000,-0.1100000000,-0.0660318434,75.0000000000
2026-01-19 15:39:41.918345,24.9360000000,6.3761967207,45.8360000000,4.0000000000,5.0000000000,,35.7275712000,-78.6973887000,29.0000000000,-0.0759357587,-0.1195259541,778.4097007929,1.1200000000,-4.8500000000,-0.0300000000,-0.0648274869,76.0000000000
2026-01-19 15:39:42.921670,24.9750000000,5.1573681931,45.8090000000,4.0000000000,5.0000000000,,35.7275819000,-78.6974424000,29.0000000000,-0.0647468567,-0.1238651723,629.0275821039,1.2700000000,-4.8600000000,0.0200000000,-0.0701140761,77.0000000000
2026-01-19 15:39:43.925153,24.9580000000,4.5697833591,45.9630000000,4.0000000000,5.0000000000,,35.7275928000,-78.6974973000,29.0000000000,-0.0585846677,-0.1119797528,556.8771651229,1.2000000000,-4.9400000000,-0.1000000000,-0.0685014725,78.0000000000
2026-01-19 15:39:44.928119,24.9150000000,6.9474573543,45.8180000000,4.0000000000,5.0000000000,,35.7276058000,-78.6975651000,29.0000000000,-0.0571550094,-0.1182053387,547.5398665832,1.1000000000,-4.8900000000,-0.0600000000,-0.0691081360,79.0000000000
2026-01-19 15:39:45.931677,24.9570000000,8.6210060671,45.8520000000,4.0000000000,5.0000000000,,35.7276153000,-78.6976197000,29.0000000000,-0.0674581379,-0.1066559404,1.0206918010,1.0700000000,-4.9300000000,-0.0600000000,-0.0667089522,80.0000000000
2026-01-19 15:39:46.934921,24.9460000000,8.2068117659,45.9700000000,4.0000000000,5.0000000000,,35.7276252000,-78.6976743000,29.0000000000,-0.0406849533,-0.0301734768,223.8980600145,1.1000000000,-4.7500000000,-0.1000000000,-0.0724478513,81.0000000000
2026-01-19 15:39:47.938502,24.9790000000,7.0014310943,45.9960000000,4.0000000000,5.0000000000,,35.7276341000,-78.6977217000,29.0000000000,-0.0137832090,0.0644696057,521.5978705564,0.8600000000,-3.6100000000,-0.0500000000,-0.0665514469,82.0000000000
2026-01-19 15:39:48.942158,24.8490000000,9.1365216927,45.7960000000,4.0000000000,5.0000000000,,35.7276404000,-78.6977534000,29.0000000000,0.0112924548,0.1201357692,1.0891826031,0.4900000000,-2.0500000000,-0.0300000000,-0.0633360595,83.0000000000
2026-01-19 15:39:49.945972,24.8680000000,9.5548196975,45.7570000000,4.0000000000,5.0000000000,,35.7276433000,-78.6977660000,29.0000000000,-0.0025361879,0.0688251853,1.1378908516,0.1100000000,-0.3900000000,-0.1200000000,-0.0686500967,84.0000000000
2026-01-19 15:39:50.949969,24.9150000000,10.1941665508,45.6450000000,4.0000000000,5.0000000000,,35.7276439000,-78.6977662000,29.0000000000,-0.0225492883,-0.0265453458,1.2125555401,0.0000000000,0.1700000000,0.0000000000,-0.0690755397,85.0000000000
