time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-28 16:56:44.784365,41.0000000000,-78.6962750000,35.7273025000,23.9490000000,0.0032603650,0.0027778056,0.0045342236,-0.0100000000,0.0100000000,-1.1000000000,12.5870000000,6.0000000000,10.0000000000,1.2098857571,0.9129653999,0.0999646069
2026-01-28 16:56:45.786196,42.0000000000,-78.6962750000,35.7273025000,24.7840000000,0.0037845166,0.0029343211,0.0042008446,-0.0100000000,0.0200000000,-0.5500000000,12.5870000000,6.0000000000,10.0000000000,1.8710612915,0.8890159092,0.1120261169
2026-01-28 16:56:47.090672,43.0000000000,-78.6962750000,35.7273025000,24.9930000000,0.0039470117,0.0032622889,0.0038140377,-0.0200000000,0.0200000000,0.0500000000,12.5870000000,6.0000000000,10.0000000000,3.1251022062,0.8850491410,0.1071452340
2026-01-28 16:56:48.096800,44.0000000000,-78.6962750000,35.7273025000,24.9510000000,0.0039158901,0.0029802474,0.0039325459,-0.0200000000,0.0200000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,4.0923301794,0.8819896163,0.1033806627
2026-01-28 16:56:49.098709,45.0000000000,-78.6962750000,35.7273026000,24.9530000000,0.0045478595,0.0032456042,0.0035557775,-0.0200000000,0.0200000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0555022721,0.8789429211,0.0996318773
2026-01-28 16:56:50.105049,46.0000000000,-78.6962752000,35.7273026000,24.9570000000,-0.0209781174,0.0041783694,-0.0602473393,0.0300000000,-0.1400000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,6.0229340487,0.8758827517,0.0958665128
2026-01-28 16:56:51.107064,47.0000000000,-78.6962888000,35.7273069000,24.9500000000,-0.1103500947,0.0216700677,-0.2961122394,0.9400000000,-2.4100000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,6.9862080431,0.8728357342,0.0921173308
2026-01-28 16:56:52.110459,48.0000000000,-78.6963268000,35.7273192000,24.9550000000,-0.0889436975,0.0100744888,-0.2501689196,1.6700000000,-4.1800000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,7.9508086825,0.8697845202,0.0883629854
2026-01-28 16:56:53.115924,49.0000000000,-78.6963757000,35.7273350000,24.9570000000,-0.0619459040,0.0090192929,-0.2044273317,1.8000000000,-4.5200000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,8.9173992893,0.8667270116,0.0846008947
2026-01-28 16:56:54.123343,50.0000000000,-78.6964273000,35.7273517000,24.9620000000,-0.0591648258,0.0058519621,-0.2026131749,1.8500000000,-4.6800000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,9.8858683483,0.8636635611,0.0808314929
2026-01-28 16:56:55.124287,51.0000000000,-78.6964802000,35.7273688000,24.9720000000,-0.0544051714,0.0057653352,-0.1927465647,1.8400000000,-4.7100000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,10.8481127510,0.8606198004,0.0770863182
2026-01-28 16:56:56.236319,52.0000000000,-78.6965380000,35.7273872000,24.9820000000,-0.0539728291,0.0053836256,-0.1882510334,1.8200000000,-4.6900000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,11.9171501472,0.8572382332,0.0729254920
2026-01-28 16:56:57.238656,53.0000000000,-78.6965902000,35.7274039000,24.9910000000,-0.0548154674,0.0055002677,-0.1881594360,1.8200000000,-4.6600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,12.8807336922,0.8541902365,0.0691751052
2026-01-28 16:56:58.242175,54.0000000000,-78.6966415000,35.7274203000,24.9980000000,-0.0198833272,0.0008180924,-0.0987836048,1.7400000000,-4.4500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,13.8454535373,0.8511386455,0.0654202958
2026-01-28 16:56:59.246336,55.0000000000,-78.6966856000,35.7274344000,24.9990000000,0.0164815374,-0.0012934553,0.0072289864,1.3000000000,-3.3800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,14.8107905608,0.8480851022,0.0616630843
2026-01-28 16:57:00.725464,56.0000000000,-78.6967242000,35.7274465000,25.0050000000,0.0538763590,0.0015302635,0.1325247288,0.4000000000,-1.0900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,16.2327308879,0.8435872365,0.0561287160
2026-01-28 16:57:01.727912,57.0000000000,-78.6967296000,35.7274481000,25.0060000000,0.0210120995,-0.0015785212,0.0565462597,0.0000000000,-0.0200000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,17.1964211413,0.8405389022,0.0523779139
2026-01-28 16:57:02.730519,58.0000000000,-78.6967281000,35.7274478000,25.0030000000,0.0024084137,-0.0021825752,0.0054140468,-0.0700000000,0.2000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,18.1602642472,0.8374900845,0.0486265169
2026-01-28 16:57:03.732783,59.0000000000,-78.6967288000,35.7274477000,25.0000000000,-0.0668672323,0.0080113625,-0.2947195172,0.2100000000,-1.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,19.1237776145,0.8344423098,0.0448764033
2026-01-28 16:57:04.739081,60.0000000000,-78.6967531000,35.7274522000,25.0040000000,-0.0757221207,0.0113079688,-0.3574408293,0.8000000000,-3.4600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,20.0911690149,0.8313822681,0.0411111958
2026-01-28 16:57:05.741612,61.0000000000,-78.6967993000,35.7274611000,25.0080000000,-0.0374395698,-0.0009046774,-0.2245033383,1.0600000000,-4.5600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,21.0549390592,0.8283336815,0.0373600832
2026-01-28 16:57:07.746823,62.0000000000,-78.6969066000,35.7274813000,24.9980000000,-0.0324155241,-0.0017741228,-0.2120501548,1.1100000000,-4.9200000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,22.9826223870,0.8222360551,0.0298573004
2026-01-28 16:57:08.752660,63.0000000000,-78.6969618000,35.7274916000,25.0000000000,-0.0309233759,-0.0020671564,-0.2045965344,1.1200000000,-4.9400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,23.9495706111,0.8191774153,0.0260938178
2026-01-28 16:57:09.758558,64.0000000000,-78.6970224000,35.7275029000,25.0010000000,-0.0304654054,-0.0023264301,-0.2005811781,1.1000000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,24.9165774768,0.8161185900,0.0223301071
2026-01-28 16:57:10.760371,65.0000000000,-78.6970766000,35.7275131000,25.0040000000,-0.0312991031,-0.0026091505,-0.2019957155,1.1000000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,25.8796572812,0.8130721867,0.0185816809
2026-01-28 16:57:11.765868,66.0000000000,-78.6971308000,35.7275232000,25.0050000000,-0.0312770791,-0.0019990539,-0.2009419501,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,26.8462786507,0.8100145808,0.0148194705
2026-01-28 16:57:12.772040,67.0000000000,-78.6971847000,35.7275334000,25.0050000000,-0.0315088294,-0.0022983234,-0.2018071860,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,27.8135489227,0.8069549223,0.0110547346
2026-01-28 16:57:13.777571,68.0000000000,-78.6972386000,35.7275435000,25.0040000000,-0.0319701098,-0.0022999174,-0.2027229071,1.1000000000,-4.8400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,28.7802029777,0.8038972130,0.0072923970
2026-01-28 16:57:14.784125,69.0000000000,-78.6972922000,35.7275536000,25.0050000000,-0.0325020142,-0.0016081814,-0.2070197165,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,0.1689468001,1.1499527189,1.8829666462
2026-01-28 16:57:16.655624,70.0000000000,-78.6973896000,35.7275719000,25.0050000000,-0.0313574374,-0.0017503259,-0.2027216256,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,1.1891456292,1.9100063395,1.6542107866
2026-01-28 16:57:17.743097,71.0000000000,-78.6974491000,35.7275832000,25.0050000000,-0.0311039947,-0.0019969910,-0.2005382627,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,2.2367915456,1.9226207450,1.0376441039
2026-01-28 16:57:18.748579,72.0000000000,-78.6975028000,35.7275933000,25.0050000000,-0.0316509418,-0.0019599544,-0.2036050558,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,3.2054492605,1.9342840761,0.4675640181
2026-01-28 16:57:19.755032,73.0000000000,-78.6975569000,35.7276035000,25.0040000000,-0.0312478952,-0.0022951278,-0.2003986984,1.1000000000,-4.8400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,4.1511760328,1.9357598344,0.0329813593
2026-01-28 16:57:20.760776,74.0000000000,-78.6976104000,35.7276135000,25.0040000000,-0.0325435884,-0.0013446981,-0.2057832330,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0202414312,1.9047594949,0.0319077309
2026-01-28 16:57:21.766645,75.0000000000,-78.6976644000,35.7276237000,25.0040000000,-0.0173325371,-0.0048367921,-0.1416753232,1.0900000000,-4.7900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.8894148423,1.8737553026,0.0308339692
2026-01-28 16:57:22.773129,76.0000000000,-78.6977128000,35.7276328000,24.9990000000,0.0095643708,-0.0067486768,-0.0140303262,0.8500000000,-3.7900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,6.7591196762,1.8427321539,0.0297595509
2026-01-28 16:57:23.778529,77.0000000000,-78.6977504000,35.7276397000,24.9990000000,0.0280159879,-0.0058606318,0.0947984084,0.4700000000,-2.1900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,7.6278878235,1.8117424177,0.0286862897
2026-01-28 16:57:24.780802,78.0000000000,-78.6977654000,35.7276424000,25.0030000000,0.0296598002,-0.0059612952,0.1216491088,0.1000000000,-0.5300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,8.4939539238,1.7808490659,0.0276163667
2026-01-28 16:57:25.786022,79.0000000000,-78.6977667000,35.7276427000,25.0020000000,0.0086858552,-0.0072367322,0.0356831737,-0.0400000000,0.1600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,9.3625665328,1.7498648779,0.0265432977
2026-01-28 16:57:26.798081,80.0000000000,-78.6977643000,35.7276424000,24.9990000000,-0.0191396363,-0.0063569779,-0.0871733949,-0.0100000000,0.0600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,10.2370887353,1.7186698893,0.0254629281
2026-01-28 16:57:28.659207,81.0000000000,-78.6978043000,35.7276500000,25.0020000000,-0.0705944821,0.0035714265,-0.3295063376,0.9600000000,-4.1000000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,11.8452914276,1.6613038621,0.0234761824
2026-01-28 16:57:29.744202,82.0000000000,-78.6978590000,35.7276605000,25.0000000000,-0.0353287682,-0.0064141839,-0.2160774469,1.1000000000,-4.7100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,12.7828377733,1.6278607460,0.0223179539
2026-01-28 16:57:30.750837,83.0000000000,-78.6979128000,35.7276707000,24.9950000000,-0.0338449888,-0.0059327283,-0.2159789205,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,13.6526730866,1.5968329430,0.0212433744
2026-01-28 16:57:31.756602,84.0000000000,-78.6979678000,35.7276810000,24.9960000000,-0.0329883881,-0.0072199707,-0.2074270397,1.1200000000,-4.9400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,14.5217566311,1.5658319563,0.0201697236
2026-01-28 16:57:32.761127,85.0000000000,-78.6980231000,35.7276914000,24.9970000000,-0.0319515578,-0.0070882794,-0.2010720074,1.1100000000,-4.9100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,15.3897686892,1.5348691904,0.0190973966
2026-01-28 16:57:33.767389,86.0000000000,-78.6980778000,35.7277016000,24.9980000000,-0.0315790698,-0.0073393071,-0.1989544779,1.1000000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,16.2592816924,1.5038528845,0.0180232153
2026-01-28 16:57:34.773301,87.0000000000,-78.6981320000,35.7277118000,25.0000000000,-0.0328911841,-0.0067907618,-0.2032014132,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,17.1284922599,1.4728473668,0.0169494076
2026-01-28 16:57:35.778503,88.0000000000,-78.6981857000,35.7277219000,25.0010000000,-0.0328370519,-0.0068088239,-0.2042174488,1.1100000000,-4.8700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,17.9970893150,1.4418637336,0.0158763578
2026-01-28 16:57:36.784352,89.0000000000,-78.6982453000,35.7277331000,25.0020000000,-0.0329084136,-0.0066331034,-0.2020196915,1.1000000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,18.8662454441,1.4108601577,0.0148026174
2026-01-28 16:57:37.790056,90.0000000000,-78.6982992000,35.7277432000,25.0010000000,-0.0335235707,-0.0070406930,-0.2021466345,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,19.7352762784,1.3798610512,0.0137290318
2026-01-28 16:57:38.814164,91.0000000000,-78.6983532000,35.7277534000,25.0010000000,-0.0327785201,-0.0071925903,-0.2008870393,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,20.6202100459,1.3482946728,0.0126357999
2026-01-28 16:57:39.819893,92.0000000000,-78.6984071000,35.7277635000,25.0010000000,-0.0327808447,-0.0072069429,-0.2028980851,1.1000000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,21.4892624828,1.3172947957,0.0115621876
2026-01-28 16:57:41.215988,93.0000000000,-78.6984825000,35.7277777000,25.0010000000,-0.0333972238,-0.0064450498,-0.2047503591,1.1100000000,-4.8500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,22.6956309596,1.2742625540,0.0100718609
2026-01-28 16:57:42.747362,94.0000000000,-78.6985634000,35.7277930000,25.0040000000,-0.0324065387,-0.0070515838,-0.2015114874,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,24.0188942904,1.2270605684,0.0084371243
2026-01-28 16:57:43.754360,95.0000000000,-78.6986173000,35.7278031000,25.0040000000,-0.0331691168,-0.0068578436,-0.2028736472,1.1100000000,-4.8600000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,24.8890432727,1.1960215766,0.0073621573
2026-01-28 16:57:44.759693,96.0000000000,-78.6986715000,35.7278133000,25.0010000000,-0.0319512524,-0.0073479582,-0.1987468451,1.1000000000,-4.8400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,25.7577535252,1.1650339055,0.0062889677
